vehicle_id,driver_id,timestamp,trip_id,distance_km,duration_minutes,avg_speed_kmh,max_speed_kmh,acceleration_avg,deceleration_avg,energy_consumed_kwh,regenerative_energy_kwh,battery_start_percent,battery_end_percent,temperature_celsius,road_type,traffic_condition,driving_mode,charging_events
EV001,D1001,2024-11-15 08:15:00,T001,45.2,65,41.7,85,0.8,1.2,12.5,2.1,85,62,28,Urban,Moderate,Eco,0
EV001,D1001,2024-11-15 18:30:00,T002,38.6,55,42.1,90,1.1,1.5,10.8,1.8,62,45,32,Urban,Heavy,Normal,0
EV002,D1002,2024-11-15 07:00:00,T003,120.5,90,80.3,110,0.6,0.9,28.4,3.2,95,55,25,Highway,Light,Eco,0
EV002,D1002,2024-11-15 17:45:00,T004,118.2,95,74.6,105,0.7,1.0,27.6,3.5,80,51,30,Highway,Moderate,Normal,0
EV003,D1003,2024-11-15 09:30:00,T005,22.8,40,34.2,65,0.9,1.3,7.2,1.5,70,60,26,Urban,Light,Eco,0
EV003,D1003,2024-11-15 14:20:00,T006,35.4,50,42.5,75,1.0,1.4,10.5,1.9,60,45,29,Urban,Moderate,Normal,0
EV004,D1004,2024-11-15 06:45:00,T007,85.6,75,68.5,100,0.8,1.1,22.3,2.8,88,58,24,Mixed,Light,Eco,0
EV004,D1004,2024-11-15 16:30:00,T008,82.4,80,61.8,95,0.9,1.2,21.8,2.6,85,60,31,Mixed,Moderate,Normal,0
EV005,D1005,2024-11-15 10:15:00,T009,15.3,35,26.2,55,1.2,1.6,5.8,1.2,55,48,27,Urban,Heavy,Sport,0
EV005,D1005,2024-11-15 19:45:00,T010,18.7,45,24.9,60,1.3,1.7,6.5,1.0,48,38,33,Urban,Heavy,Sport,0
EV006,D1006,2024-11-15 08:00:00,T011,95.2,85,67.2,105,0.7,1.0,24.8,3.0,92,62,23,Highway,Light,Eco,0
EV007,D1007,2024-11-15 11:30:00,T012,42.5,60,42.5,80,0.9,1.3,11.8,2.0,75,60,28,Urban,Moderate,Normal,0
EV008,D1008,2024-11-15 07:30:00,T013,110.3,95,69.7,115,0.8,1.1,27.2,3.4,90,58,22,Highway,Light,Normal,0
EV009,D1009,2024-11-15 13:00:00,T014,28.4,45,37.9,70,1.0,1.4,8.6,1.6,68,55,30,Urban,Moderate,Eco,0
EV010,D1010,2024-11-15 15:20:00,T015,52.6,70,45.1,85,0.9,1.2,14.2,2.3,80,65,29,Mixed,Moderate,Normal,0
EV001,D1001,2024-11-16 08:20:00,T016,48.3,68,42.6,88,0.8,1.3,13.1,2.2,90,67,27,Urban,Moderate,Eco,0
EV002,D1002,2024-11-16 07:15:00,T017,125.4,92,81.8,112,0.6,0.9,29.2,3.3,95,56,24,Highway,Light,Eco,0
EV003,D1003,2024-11-16 09:45:00,T018,25.6,42,36.6,68,0.9,1.3,7.8,1.6,72,62,28,Urban,Light,Eco,0
EV004,D1004,2024-11-16 06:50:00,T019,88.2,77,68.8,102,0.8,1.1,23.0,2.9,87,59,25,Mixed,Light,Eco,0
EV005,D1005,2024-11-16 10:30:00,T020,16.8,38,26.5,58,1.2,1.6,6.1,1.3,60,52,26,Urban,Heavy,Sport,0
