name,data_type,region,upload_date,basic_price,standard_price,premium_price,provider,soc,soh,co2_saved,charging_frequency,charging_time,total_distance,vehicle_type,battery_type,format,description
"Hanh_vi_lai_xe_1","Hành vi lái xe","Miền Nam","2025-01-01","120000","280000","550000","VinFast","85","92","30","10","60","15000","Ô tô điện","Li-ion","CSV","SOC: 85%, SOH: 92%, CO2 giảm: 30%, Sạc: 10 lần/tháng, Quãng đường: 15000km"
"Su_dung_tram_sac_1","Sử dụng trạm sạc","Miền Nam","2025-01-05","180000","400000","800000","GreenCharge","88","91","40","20","180","20000","Xe máy điện","LFP","Excel","SOC: 88%, SOH: 91%, CO2 giảm: 40%, Sạc: 20 lần/tháng, TB sạc: 180 phút"
"Hieu_suat_pin_1","Hiệu suất pin","Miền Bắc","2025-01-10","160000","380000","760000","EVN","90","78","60","22","100","25000","Xe tải điện","NMC","JSON","SOC: 90%, SOH: 78%, CO2 giảm: 60%, Sạc: 22 lần/tháng, Loại pin: NMC"
"Du_lieu_moi_truong_1","Dữ liệu môi trường","Miền Nam","2025-01-15","130000","300000","600000","VinFast","85","90","75","16","80","15000","Ô tô điện","Li-ion","Excel","SOC: 85%, SOH: 90%, CO2 giảm: 75%, Sạc: 16 lần/tháng"
"Giao_dich_V2G_1","Giao dịch V2G","Miền Bắc","2025-01-20","200000","500000","1000000","EVN","95","98","60","15","120","5000","Xe máy điện","NMC","CSV","V2G: Lợi nhuận cao, SOC: 95%, SOH: 98%, Sạc/Xả: 15 lần/tháng"
"Hanh_vi_lai_xe_2","Hành vi lái xe","Miền Bắc","2025-02-01","180000","450000","850000","EVN","90","98","65","25","120","50000","Xe tải điện","NMC","JSON","SOC: 90%, SOH: 98%, CO2 giảm: 65%, Sạc: 25 lần/tháng, Quãng đường: 50000km"
"Su_dung_tram_sac_2","Sử dụng trạm sạc","Miền Trung","2025-02-05","150000","320000","650000","VinFast","82","75","70","12","90","10000","Ô tô điện","Li-ion","CSV","SOC: 82%, SOH: 75%, CO2 giảm: 70%, Sạc: 12 lần/tháng, TB sạc: 90 phút"
"Hieu_suat_pin_2","Hiệu suất pin","Miền Nam","2025-02-10","140000","310000","620000","GreenCharge","85","96","45","11","75","18000","Xe máy điện","LFP","CSV","SOC: 85%, SOH: 96%, CO2 giảm: 45%, Sạc: 11 lần/tháng, Loại pin: LFP"
"Du_lieu_moi_truong_2","Dữ liệu môi trường","Miền Trung","2025-02-15","160000","380000","760000","GreenCharge","92","95","40","20","110","28000","Xe tải điện","LFP","JSON","SOC: 92%, SOH: 95%, CO2 giảm: 40%, Sạc: 20 lần/tháng"
"Giao_dich_V2G_2","Giao dịch V2G","Miền Nam","2025-02-20","180000","450000","900000","VinFast","80","90","50","20","90","8000","Ô tô điện","Li-ion","JSON","V2G: Lợi nhuận trung bình, SOC: 80%, SOH: 90%, Sạc/Xả: 20 lần/tháng"
"Hanh_vi_lai_xe_3","Hành vi lái xe","Miền Trung","2025-03-01","100000","250000","500000","GreenCharge","75","80","25","8","45","8000","Xe máy điện","LFP","Excel","SOC: 75%, SOH: 80%, CO2 giảm: 25%, Sạc: 8 lần/tháng, Quãng đường: 8000km"
"Su_dung_tram_sac_3","Sử dụng trạm sạc","Miền Bắc","2025-03-05","110000","270000","540000","EVN","92","95","35","28","60","30000","Xe tải điện","NMC","JSON","SOC: 92%, SOH: 95%, CO2 giảm: 35%, Sạc: 28 lần/tháng, TB sạc: 60 phút"
"Hieu_suat_pin_3","Hiệu suất pin","Miền Trung","2025-03-10","200000","500000","1000000","VinFast","70","72","20","27","160","5000","Ô tô điện","Li-ion","Excel","SOC: 70%, SOH: 72%, CO2 giảm: 20%, Sạc: 27 lần/tháng, Loại pin: Li-ion"
"Du_lieu_moi_truong_3","Dữ liệu môi trường","Miền Bắc","2025-03-15","190000","450000","900000","EVN","75","70","80","10","45","40000","Xe máy điện","NMC","CSV","SOC: 75%, SOH: 70%, CO2 giảm: 80%, Sạc: 10 lần/tháng"
"Giao_dich_V2G_3","Giao dịch V2G","Miền Trung","2025-03-20","150000","400000","800000","GreenCharge","70","85","40","10","60","3000","Xe tải điện","LFP","Excel","V2G: Thử nghiệm mạng lưới, SOC: 70%, SOH: 85%, CO2 giảm: 40%, Sạc/Xả: 10 lần/tháng"
"Hanh_vi_lai_xe_4","Hành vi lái xe","Miền Nam","2025-04-01","160000","350000","700000","VinFast","95","90","50","18","90","25000","Ô tô điện","Li-ion","CSV","SOC: 95%, SOH: 90%, CO2 giảm: 50%, Sạc: 18 lần/tháng, Quãng đường: 25000km"
"Su_dung_tram_sac_4","Sử dụng trạm sạc","Miền Nam","2025-04-05","190000","480000","950000","GreenCharge","78","88","55","15","150","18000","Xe máy điện","LFP","Excel","SOC: 78%, SOH: 88%, CO2 giảm: 55%, Sạc: 15 lần/tháng, TB sạc: 150 phút"
"Hieu_suat_pin_4","Hiệu suất pin","Miền Bắc","2025-04-10","170000","420000","840000","EVN","95","89","55","14","130","35000","Xe tải điện","NMC","JSON","SOC: 95%, SOH: 89%, CO2 giảm: 55%, Sạc: 14 lần/tháng, Loại pin: NMC"
"Du_lieu_moi_truong_4","Dữ liệu môi trường","Miền Nam","2025-04-15","120000","280000","550000","VinFast","98","99","25","25","170","19000","Ô tô điện","Li-ion","Excel","SOC: 98%, SOH: 99%, CO2 giảm: 25%, Sạc: 25 lần/tháng"
"Giao_dich_V2G_4","Giao dịch V2G","Miền Bắc","2025-04-20","190000","480000","950000","EVN","98","99","70","25","150","10000","Xe máy điện","NMC","CSV","V2G: Tối ưu hóa năng lượng, SOC: 98%, SOH: 99%, CO2 giảm: 70%, Sạc/Xả: 25 lần/tháng"
